"gene","gene_name","obs","mean","sd","z","p_emp","FDR_BH","HOLM"
"ENSG00000196126.12_11","HLA-DRB1",2,0.0014,0.0373907470018884,53.4517269713563,1.99996000079998e-05,0.000133330666719999,0.000399992000159997
"ENSG00000116337.20_16","AMPD2",1,0,0,NA,1.99996000079998e-05,0.000133330666719999,0.000399992000159997
"ENSG00000164161.10_7","HHIP",1,0,0,NA,1.99996000079998e-05,0.000133330666719999,0.000399992000159997
"ENSG00000170634.13_11","ACYP2",1,4e-04,0.0282817254975707,35.3443781245194,0.000219995600087998,0.00109997800043999,0.00373992520149597
"ENSG00000149948.14_12","HMGA2",1,4e-04,0.0199961995629154,49.9894990973104,0.000419991600167997,0.0011714051433257,0.00671986560268795
"ENSG00000174943.11_19","KCTD13",1,4e-04,0.0199961995629154,49.9894990973104,0.000419991600167997,0.0011714051433257,0.00671986560268795
"ENSG00000232070.9_11","TMEM253",1,4e-04,0.0199961995629154,49.9894990973104,0.000419991600167997,0.0011714051433257,0.00671986560268795
"ENSG00000159322.18_10","ADPGK",1,6e-04,0.024487792735154,40.8121716321655,0.000619987600247995,0.0011714051433257,0.00805983880322394
"ENSG00000168646.14_14","AXIN2",1,6e-04,0.024487792735154,40.8121716321655,0.000619987600247995,0.0011714051433257,0.00805983880322394
"ENSG00000186834.4_6","HEXIM1",1,6e-04,0.024487792735154,40.8121716321655,0.000619987600247995,0.0011714051433257,0.00805983880322394
"ENSG00000130202.10_18","NECTIN2",1,8e-04,0.0282732380091094,35.3408406804366,0.000819983600327993,0.0011714051433257,0.00819983600327993
"ENSG00000158406.6_9","H4C8",1,8e-04,0.0282732380091094,35.3408406804366,0.000819983600327993,0.0011714051433257,0.00819983600327993
"ENSG00000254870.5_10","ATP6V1G2-DDX39B",1,8e-04,0.0282732380091094,35.3408406804366,0.000819983600327993,0.0011714051433257,0.00819983600327993
"ENSG00000277481.2_9","PKD1L3",1,8e-04,0.0282732380091094,35.3408406804366,0.000819983600327993,0.0011714051433257,0.00819983600327993
"ENSG00000111341.10_11","MGP",1,0.001,0.0316072773329119,31.6066451873653,0.00101997960040799,0.00119997600047999,0.00819983600327993
"ENSG00000213676.13_15","ATF6B",1,0.001,0.0316072773329119,31.6066451873653,0.00101997960040799,0.00119997600047999,0.00819983600327993
"ENSG00000291302.1_2","ENSG00000291302",1,0.001,0.0316072773329119,31.6066451873653,0.00101997960040799,0.00119997600047999,0.00819983600327993
"ENSG00000008196.13_8","TFAP2B",1,0.0012,0.0346205715100059,28.8498992488131,0.00121997560048799,0.00135552844498666,0.00819983600327993
"ENSG00000206503.15_15","HLA-A",1,0.0016,0.0399683868756169,24.9797421924246,0.00161996760064799,0.00161996760064799,0.00819983600327993
"ENSG00000198563.14_13","DDX39B",1,0.0018,0.0468700750594526,21.2971709290806,0.00161996760064799,0.00161996760064799,0.00819983600327993
